Trace
Swept SA
A.14.10,N9010A
7950205,-100.681766943061
7960204,-101.39964408793
7970203,-101.233706425578
7980202,-100.204785541244
7990201,-101.059311946386
8000200,-100.918261636522
8010199,-100.330434483979
8020198,-101.664424800484
8030197,-100.725651085174
8040196,-101.633308710258
8050195,-100.998799447814
8060194,-100.450536440512
8070193,-100.823703969701
8080192,-101.226094467667
8090191,-101.185876023643
8100190,-100.959612402795
8110189,-100.732305507836
8120188,-101.347626142157
8130187,-101.54336888619
8140186,-100.329936581947
8150185,-101.381298654113
8160184,-100.23256306031
8170183,-101.716388633285
8180182,-101.279155470726
8190181,-100.885117230264
8200180,-100.997330483208
8210179,-100.435399418011
8220178,-100.220819815155
8230177,-100.798899739713
8240176,-100.414780257678
8250175,-101.487775753917
8260174,-101.397215948566
8270173,-101.712199797631
8280172,-100.633424486292
8290171,-100.805075739632
8300170,-100.38521018434
8310169,-100.594401669533
8320168,-101.421183733683
8330167,-100.266319589762
8340166,-101.212861555832
8350165,-100.499516601617
8360164,-99.8762898900623
8370163,-101.135752950788
8380162,-100.863802809939
8390161,-100.613600122974
8400160,-100.180490395543
8410159,-101.405142269042
8420158,-100.906413051813
8430157,-100.284938538299
8440156,-100.907795926399
8450155,-100.001207331692
8460154,-100.822242290753
8470153,-100.633500093313
8480152,-100.517304757997
8490151,-100.103037105568
8500150,-100.618937843289
8510149,-100.95365831451
8520148,-100.512513720705
8530147,-100.67886445557
8540146,-100.609796938609
8550145,-101.51612148378
8560144,-100.922935515256
8570143,-101.081808318485
8580142,-101.026863730822
8590141,-100.647135999844
8600140,-100.896961430167
8610139,-100.596518362613
8620138,-101.111826303073
8630137,-100.706528379149
8640136,-101.814087540777
8650135,-101.398371786729
8660134,-100.710227474414
8670133,-101.220296128506
8680132,-101.065606477491
8690131,-101.225490809938
8700130,-101.142915098696
8710129,-101.017742643143
8720128,-100.45940567085
8730127,-101.169709583349
8740126,-100.490224523712
8750125,-100.566276866053
8760124,-100.968547086412
8770123,-101.672502606465
8780122,-101.300951808042
8790121,-100.691258038659
8800120,-101.081821402344
8810119,-101.054091401421
8820118,-100.336351787979
8830117,-100.787402875985
8840116,-101.152867905623
8850115,-100.350838354179
8860114,-100.890583430627
8870113,-100.610029902879
8880112,-100.665097219409
8890111,-101.436548362116
8900110,-101.172586826548
8910109,-100.687894014658
8920108,-101.41323954966
8930107,-101.270977301433
8940106,-100.582643159817
8950105,-101.008284403207
8960104,-101.595742200673
8970103,-101.521136285539
8980102,-100.824802409711
8990101,-100.623833675548
9000100,-100.867618402813
9010099,-100.655833235149
9020098,-100.274717951569
9030097,-101.492403699063
9040096,-100.164412158557
9050095,-101.14749562582
9060094,-100.671703599456
9070093,-100.865572411926
9080092,-100.897285180482
9090091,-101.172313798173
9100090,-100.836103234321
9110089,-100.715066532351
9120088,-100.848514884764
9130087,-101.158452198403
9140086,-100.630719753889
9150085,-100.19909524864
9160084,-100.987625145068
9170083,-100.785325497152
9180082,-100.777361184813
9190081,-100.480813218629
9200080,-100.629973688484
9210079,-101.346006031227
9220078,-100.21348928558
9230077,-100.932375097667
9240076,-100.573915173786
9250075,-100.656160940234
9260074,-101.255146237168
9270073,-100.428530964459
9280072,-101.091656038262
9290071,-101.358939407951
9300070,-100.867950041053
9310069,-101.211363664445
9320068,-101.001965273447
9330067,-100.271391184916
9340066,-100.072326658255
9350065,-100.676360548737
9360064,-100.319922141352
9370063,-100.827443266493
9380062,-100.820583828252
9390061,-100.823071829206
9400060,-100.938701681487
9410059,-100.855738482812
9420058,-100.833818610259
9430057,-101.049395435102
9440056,-100.425381096624
9450055,-100.443193681402
9460054,-100.681991909038
9470053,-100.638177403178
9480052,-101.195290812551
9490051,-100.111951215034
9500050,-99.9720444751043
9510049,-101.735936502171
9520048,-100.545000413685
9530047,-101.08160812695
9540046,-101.408345928854
9550045,-101.321547345481
9560044,-101.029330210864
9570043,-100.611282716421
9580042,-100.870499106537
9590041,-100.069044669716
9600040,-100.94183373848
9610039,-100.918240820614
9620038,-101.416795329282
9630037,-100.39860896895
9640036,-100.930278591535
9650035,-100.680458574104
9660034,-100.371555209858
9670033,-101.349496876667
9680032,-101.578674237724
9690031,-100.863555933066
9700030,-100.900352421085
9710029,-101.404987145769
9720028,-101.063608305895
9730027,-100.823360138302
9740026,-101.066584890291
9750025,-101.333778914252
9760024,-100.62918803955
9770023,-101.291711836671
9780022,-100.531764375998
9790021,-101.231639074503
9800020,-100.632704101414
9810019,-100.345785751606
9820018,-100.560810303851
9830017,-101.052487950646
9840016,-100.039123709336
9850015,-100.749006472115
9860014,-101.032891032009
9870013,-101.16605847594
9880012,-100.386923680175
9890011,-101.052402563957
9900010,-100.725751273062
9910009,-100.66468270418
9920008,-100.258804163475
9930007,-100.727392633573
9940006,-101.144508222845
9950005,-101.229959443329
9960004,-100.724423594702
9970003,-99.96280164652
9980002,-101.545262292126
9990001,-101.527873220004
10000000,-99.4117942603754
